
béer Subjonctif Passé,que j'aie bée,que tu aies bée,qu'il ait bée,que nous ayons bée,que vous ayez bée,qu'ils aient bée
béer Subjonctif Imparfait,,,,,,
béer Subjonctif Plus-que-parfait,que j'eusse bée,que tu eusses bée,qu'il eût bée,que nous eussions bée,que vous eussiez bée,qu'ils eussent bée
béer Passé simple,,,,,,
béer Passé Antérieur,j'eus bée,tu eus bée,il eut bée,nous eûmes bée,vous eûtes bée,ils eurent bée
béer Impératif Présent,,,,,,
béer Infinitif Présent,je béer,tu béer,il béer,nous béer,vous béer,ils béer
béer Participe Présent,je béant,tu béant,il béant,nous béant,vous béant,ils béant
béer Participe Passé,je bée,tu bée,il bée,nous bée,vous bée,ils bée

clamecer Présent,je clamèce,tu clamèces,il clamèce,nous clameçons,vous clamecez,ils clamècent
clamecer Passé Composé,j'ai clamecé,tu as clamecé,il a clamecé,nous avons clamecé,vous avez clamecé,ils ont clamecé
clamecer Imparfait,je clameçais,tu clameçais,il clameçait,nous clamecions,vous clameciez,ils clameçaient
clamecer Plus-que-parfait,j'avais clamecé,tu avais clamecé,il avait clamecé,nous avions clamecé,vous aviez clamecé,ils avaient clamecé
clamecer Futur Simple,je clam[eè]cerai,tu clam[eè]ceras,il clam[eè]cera,nous clam[eè]cerons,vous clam[eè]cerez,ils clam[eè]ceront
clamecer Futur Antérieur,j'aurai clamecé,tu auras clamecé,il aura clamecé,nous aurons clamecé,vous aurez clamecé,ils auront clamecé
clamecer Conditionnel Présent,je clam[eè]cerais,tu clam[eè]cerais,il clam[eè]cerait,nous clam[eè]cerions,vous clam[eè]ceriez,ils clam[eè]ceraient
clamecer Conditionnel Passé,j'aurais clamecé,tu aurais clamecé,il aurait clamecé,nous aurions clamecé,vous auriez clamecé,ils auraient clamecé
clamecer Subjonctif Présent,que je clam[eè]ce,que tu clam[eè]ces,qu'il clam[eè]ce,que nous clamecions,que vous clameciez,qu'ils clam[eè]cent
clamecer Subjonctif Passé,que j'aie clamecé,que tu aies clamecé,qu'il ait clamecé,que nous ayons clamecé,que vous ayez clamecé,qu'ils aient clamecé
clamecer Subjonctif Imparfait,que je clameçasse,que tu clameçasses,qu'il clameçât,que nous clameçassions,que vous clameçassiez,qu'ils clameçassent
clamecer Subjonctif Plus-que-parfait,que j'eusse clamecé,que tu eusses clamecé,qu'il eût clamecé,que nous eussions clamecé,que vous eussiez clamecé,qu'ils eussent clamecé
clamecer Passé simple,je clameçai,tu clameças,il clameça,nous clameçâmes,vous clameçâtes,ils clamecèrent
clamecer Passé Antérieur,j'eus clamecé,tu eus clamecé,il eut clamecé,nous eûmes clamecé,vous eûtes clamecé,ils eurent clamecé
clamecer Impératif Présent,,tu clam[eè]ce,,nous clameçons,vous clamecez,
clamecer Infinitif Présent,je clamecer,tu clamecer,il clamecer,nous clamecer,vous clamecer,ils clamecer
clamecer Participe Présent,je clameçant,tu clameçant,il clameçant,nous clameçant,vous clameçant,ils clameçant
clamecer Participe Passé,je clamecé,tu clamecé,il clamecé,nous clamecé,vous clamecé,ils clamecé

courbaturer Présent,je courbature,tu courbatures,il courbature,nous courbaturons,vous courbaturez,ils courbaturent
courbaturer Passé Composé,j'ai courbaturé|courbatu,tu as courbaturé|courbatu,il a courbaturé|courbatu,nous avons courbaturé|courbatu,vous avez courbaturé|courbatu,ils ont courbaturé|courbatu
courbaturer Imparfait,je courbaturais,tu courbaturais,il courbaturait,nous courbaturions,vous courbaturiez,ils courbaturaient
courbaturer Plus-que-parfait,j'avais courbaturé|courbatu,tu avais courbaturé|courbatu,il avait courbaturé|courbatu,nous avions courbaturé|courbatu,vous aviez courbaturé|courbatu,ils avaient courbaturé|courbatu
courbaturer Futur Simple,je courbaturerai,tu courbatureras,il courbaturera,nous courbaturerons,vous courbaturerez,ils courbatureront
courbaturer Futur Antérieur,j'aurai courbaturé|courbatu,tu auras courbaturé|courbatu,il aura courbaturé|courbatu,nous aurons courbaturé|courbatu,vous aurez courbaturé|courbatu,ils auront courbaturé|courbatu
courbaturer Conditionnel Présent,je courbaturerais,tu courbaturerais,il courbaturerait,nous courbaturerions,vous courbatureriez,ils courbatureraient
courbaturer Conditionnel Passé,j'aurais courbaturé|courbatu,tu aurais courbaturé|courbatu,il aurait courbaturé|courbatu,nous aurions courbaturé|courbatu,vous auriez courbaturé|courbatu,ils auraient courbaturé|courbatu
courbaturer Subjonctif Présent,que je courbature,que tu courbatures,qu'il courbature,que nous courbaturions,que vous courbaturiez,qu'ils courbaturent
courbaturer Subjonctif Passé,que j'aie courbaturé|courbatu,que tu aies courbaturé|courbatu,qu'il ait courbaturé|courbatu,que nous ayons courbaturé|courbatu,que vous ayez courbaturé|courbatu,qu'ils aient courbaturé|courbatu
courbaturer Subjonctif Imparfait,que je courbaturasse,que tu courbaturasses,qu'il courbaturât,que nous courbaturassions,que vous courbaturassiez,qu'ils courbaturassent
courbaturer Subjonctif Plus-que-parfait,que j'eusse courbaturé|courbatu,que tu eusses courbaturé|courbatu,qu'il eût courbaturé|courbatu,que nous eussions courbaturé|courbatu,que vous eussiez courbaturé|courbatu,qu'ils eussent courbaturé|courbatu
courbaturer Passé simple,je courbaturai,tu courbaturas,il courbatura,nous courbaturâmes,vous courbaturâtes,ils courbaturèrent
courbaturer Passé Antérieur,j'eus courbaturé|courbatu,tu eus courbaturé|courbatu,il eut courbaturé|courbatu,nous eûmes courbaturé|courbatu,vous eûtes courbaturé|courbatu,ils eurent courbaturé|courbatu
courbaturer Impératif Présent,,tu courbature,,nous courbaturons,vous courbaturez,
courbaturer Infinitif Présent,je courbaturer,tu courbaturer,il courbaturer,nous courbaturer,vous courbaturer,ils courbaturer
courbaturer Participe Présent,je courbaturant,tu courbaturant,il courbaturant,nous courbaturant,vous courbaturant,ils courbaturant
courbaturer Participe Passé,je courbaturé|courbatu,tu courbaturé|courbatu,il courbaturé|courbatu,nous courbaturé|courbatu,vous courbaturé|courbatu,ils courbaturé|courbatu

discontinuer Présent,,,,,,
discontinuer Passé Composé,,,,,,
discontinuer Imparfait,,,,,,
discontinuer Plus-que-parfait,,,,,,
discontinuer Futur Simple,,,,,,
discontinuer Futur Antérieur,,,,,,
discontinuer Conditionnel Présent,,,,,,
discontinuer Conditionnel Passé,,,,,,
discontinuer Subjonctif Présent,,,,,,
discontinuer Subjonctif Passé,,,,,,
discontinuer Subjonctif Imparfait,,,,,,
discontinuer Subjonctif Plus-que-parfait,,,,,,
discontinuer Passé simple,,,,,,
discontinuer Passé Antérieur,,,,,,
discontinuer Impératif Présent,,,,,,
discontinuer Infinitif Présent,je discontinuer,tu discontinuer,il discontinuer,nous discontinuer,vous discontinuer,ils discontinuer
discontinuer Participe Présent,,,,,,
discontinuer Participe Passé,,,,,,

dépecer Présent,je dépèce,tu dépèces,il dépèce,nous dépeçons,vous dépecez,ils dépècent
dépecer Passé Composé,j'ai dépecé,tu as dépecé,il a dépecé,nous avons dépecé,vous avez dépecé,ils ont dépecé
dépecer Imparfait,je dépeçais,tu dépeçais,il dépeçait,nous dépecions,vous dépeciez,ils dépeçaient
dépecer Plus-que-parfait,j'avais dépecé,tu avais dépecé,il avait dépecé,nous avions dépecé,vous aviez dépecé,ils avaient dépecé
dépecer Futur Simple,je dép[eè]cerai,tu dép[eè]ceras,il dép[eè]cera,nous dép[eè]cerons,vous dép[eè]cerez,ils dép[eè]ceront
dépecer Futur Antérieur,j'aurai dépecé,tu auras dépecé,il aura dépecé,nous aurons dépecé,vous aurez dépecé,ils auront dépecé
dépecer Conditionnel Présent,je dép[eè]cerais,tu dép[eè]cerais,il dép[eè]cerait,nous dép[eè]cerions,vous dép[eè]ceriez,ils dép[eè]ceraient
dépecer Conditionnel Passé,j'aurais dépecé,tu aurais dépecé,il aurait dépecé,nous aurions dépecé,vous auriez dépecé,ils auraient dépecé
dépecer Subjonctif Présent,que je dépèce,que tu dépèces,qu'il dépèce,que nous dépecions,que vous dépeciez,qu'ils dépècent
dépecer Subjonctif Passé,que j'aie dépecé,que tu aies dépecé,qu'il ait dépecé,que nous ayons dépecé,que vous ayez dépecé,qu'ils aient dépecé
dépecer Subjonctif Imparfait,que je dépeçasse,que tu dépeçasses,qu'il dépeçât,que nous dépeçassions,que vous dépeçassiez,qu'ils dépeçassent
