ortho	lemme	cgram
inassouvissables	inassouvissable	ADJ
inassouvissement	inassouvissement	NAM
inassurable	inassurable	ADJ
inattaquable	inattaquable	ADJ
inattaquables	inattaquable	ADJ
inatteignable	inatteignable	ADJ
inatteignables	inatteignable	ADJ
inattendu	inattendu	ADJ
inattendue	inattendu	ADJ
inattendues	inattendu	ADJ
inattendus	inattendu	ADJ
inattentif	inattentif	ADJ
inattentifs	inattentif	ADJ
inattention	inattention	NAM
inattentive	inattentif	ADJ
inattentives	inattentif	ADJ
inattrapable	inattrapable	ADJ
inaudible	inaudible	ADJ
inaudibles	inaudible	ADJ
inaugura	inaugurer	VER
inaugurai	inaugurer	VER
inaugurais	inaugurer	VER
inaugurait	inaugurer	VER
inaugural	inaugural	ADJ
inaugurale	inaugural	ADJ
inaugurales	inaugural	ADJ
inaugurant	inaugurer	VER
inauguration	inauguration	NAM
inaugurations	inauguration	NAM
inaugure	inaugurer	VER
inaugurer	inaugurer	VER
inaugurera	inaugurer	VER
inaugurions	inaugurer	VER
inaugurons	inaugurer	VER
inaugurèrent	inaugurer	VER
inauguré	inaugurer	VER
inaugurée	inaugurer	VER
inaugurés	inaugurer	VER
inauthenticité	inauthenticité	NAM
inaverti	inaverti	ADJ
inavouable	inavouable	ADJ
inavouablement	inavouablement	ADV
inavouables	inavouable	ADJ
inavoué	inavoué	ADJ
inavouée	inavoué	ADJ
inavouées	inavoué	ADJ
inavoués	inavoué	ADJ
inca	inca	ADJ
incalculable	incalculable	ADJ
incalculables	incalculable	ADJ
incandescence	incandescence	NAM
incandescences	incandescence	NAM
incandescent	incandescent	ADJ
incandescente	incandescent	ADJ
incandescentes	incandescent	ADJ
incandescents	incandescent	ADJ
incantation	incantation	NAM
incantations	incantation	NAM
incantatoire	incantatoire	ADJ
incantatoires	incantatoire	ADJ
incantatrice	incantateur	NAM
incapable	incapable	ADJ
incapable	incapable	NAM
incapables	incapable	ADJ
incapables	incapable	NAM
incapacitant	incapacitant	ADJ
incapacitante	incapacitant	ADJ
incapacitants	incapacitant	ADJ
incapacité	incapacité	NAM
incapacités	incapacité	NAM
incarcère	incarcérer	VER
incarcération	incarcération	NAM
incarcérer	incarcérer	VER
incarcérez	incarcérer	VER
incarcéré	incarcérer	VER
incarcéré	incarcéré	ADJ
incarcérée	incarcérer	VER
incarcérée	incarcéré	ADJ
incarcérées	incarcérer	VER
incarcérées	incarcéré	ADJ
incarcérés	incarcérer	VER
incarcérés	incarcéré	ADJ
incarna	incarner	VER
incarnadines	incarnadin	ADJ
incarnai	incarner	VER
incarnaient	incarner	VER
incarnais	incarner	VER
incarnait	incarner	VER
incarnant	incarner	VER
incarnat	incarnat	ADJ
incarnat	incarnat	NAM
incarnation	incarnation	NAM
incarnations	incarnation	NAM
incarne	incarner	VER
incarnent	incarner	VER
incarner	incarner	VER
incarnera	incarner	VER
incarneraient	incarner	VER
incarnerais	incarner	VER
incarnerait	incarner	VER
incarnerez	incarner	VER
incarnes	incarner	VER
incarnez	incarner	VER
incarniez	incarner	VER
incarnions	incarner	VER
incarnât	incarner	VER
incarné	incarner	VER
incarné	incarné	ADJ
incarnée	incarner	VER
incarnée	incarné	ADJ
incarnées	incarner	VER
incarnées	incarné	ADJ
incarnés	incarner	VER
incarnés	incarné	ADJ
incartade	incartade	NAM
incartades	incartade	NAM
incas	inca	ADJ
incassable	incassable	ADJ
incassables	incassable	ADJ
incendia	incendier	VER
incendiaient	incendier	VER
incendiaire	incendiaire	ADJ
incendiaire	incendiaire	NAM
incendiaires	incendiaire	ADJ
incendiaires	incendiaire	NAM
incendiait	incendier	VER
incendiant	incendier	VER
incendie	incendie	NAM
incendie	incendier	VER
incendient	incendier	VER
incendier	incendier	VER
incendieras	incendier	VER
incendies	incendie	NAM
incendies	incendier	VER
incendiez	incendier	VER
incendièrent	incendier	VER
incendié	incendier	VER
incendié	incendié	ADJ
incendié	incendié	NAM
incendiée	incendier	VER
incendiée	incendié	ADJ
incendiée	incendié	NAM
incendiées	incendier	VER
incendiées	incendié	ADJ
incendiés	incendier	VER
incendiés	incendié	ADJ
incendiés	incendié	NAM
incernable	incernable	ADJ
incertain	incertain	ADJ
incertaine	incertain	ADJ
incertaines	incertain	ADJ
incertains	incertain	ADJ
incertitude	incertitude	NAM
incertitudes	incertitude	NAM
incessamment	incessamment	ADV
incessant	incessant	ADJ
incessante	incessant	ADJ
incessantes	incessant	ADJ
incessants	incessant	ADJ
inceste	inceste	NAM
incestes	inceste	NAM
incestueuse	incestueux	ADJ
incestueuse	incestueux	NAM
incestueuses	incestueux	ADJ
incestueuses	incestueux	NAM
incestueux	incestueux	ADJ
inch allah	inch allah	ONO
inchangeable	inchangeable	ADJ
inchangé	inchangé	ADJ
inchangée	inchangé	ADJ
inchangées	inchangé	ADJ
inchangés	inchangé	ADJ
inchavirable	inchavirable	ADJ
inchiffrable	inchiffrable	ADJ
incidemment	incidemment	ADV
incidence	incidence	NAM
incidences	incidence	NAM
incident	incident	ADJ
incident	incident	NAM
incidente	incident	ADJ
incidentes	incident	ADJ
incidents	incident	ADJ
incidents	incident	NAM
incinère	incinérer	VER
incinérait	incinérer	VER
incinérant	incinérer	VER
incinérateur	incinérateur	NAM
incinérateurs	incinérateur	NAM
incinération	incinération	NAM
incinérer	incinérer	VER
incinérez	incinérer	VER
incinéré	incinérer	VER
incinérée	incinérer	VER
incinérés	incinérer	VER
incirconcis	incirconcis	ADJ
incisa	inciser	VER
incisaient	inciser	VER
incisait	inciser	VER
incisant	inciser	VER
incise	incise	ADJ
incise	incise	NAM
incise	inciser	VER
inciser	inciser	VER
incisera	inciser	VER
incises	incise	NAM
incises	inciser	VER
incisez	inciser	VER
incisif	incisif	ADJ
incisifs	incisif	ADJ
incision	incision	NAM
incisions	incision	NAM
incisive	incisif	ADJ
incisive	incisive	NAM
incisives	incisif	ADJ
incisives	incisive	NAM
incisé	inciser	VER
incisée	inciser	VER
incisées	inciser	VER
incisés	inciser	VER
incita	inciter	VER
incitaient	inciter	VER
incitait	inciter	VER
incitant	incitant	ADJ
incitant	inciter	VER
incitateur	incitateur	NAM
incitatif	incitatif	ADJ
incitation	incitation	NAM
incitatrice	incitateur	NAM
incite	inciter	VER
incitent	inciter	VER
inciter	inciter	VER
incitera	inciter	VER
inciterai	inciter	VER
inciteraient	inciter	VER
inciterais	inciter	VER
inciterait	inciter	VER
inciteront	inciter	VER
incitez	inciter	VER
incitiez	inciter	VER
incitèrent	inciter	VER
incité	inciter	VER
incitée	inciter	VER
incités	inciter	VER
incivil	incivil	ADJ
incivils	incivil	ADJ
inclassable	inclassable	ADJ
inclassables	inclassable	ADJ
inclina	incliner	VER
inclinable	inclinable	ADJ
inclinables	inclinable	ADJ
inclinai	incliner	VER
inclinaient	incliner	VER
inclinais	incliner	VER
inclinaison	inclinaison	NAM
inclinaisons	inclinaison	NAM
inclinait	incliner	VER
inclinant	incliner	VER
inclinante	inclinant	ADJ
inclination	inclination	NAM
inclinations	inclination	NAM
incline	incliner	VER
inclinent	incliner	VER
incliner	incliner	VER
inclinerai	incliner	VER
inclineraient	incliner	VER
inclinerais	incliner	VER
inclinerait	incliner	VER
inclineras	incliner	VER
inclinerez	incliner	VER
inclineront	incliner	VER
inclinez	incliner	VER
inclinions	incliner	VER
inclinomètre	inclinomètre	NAM
inclinons	incliner	VER
inclinât	incliner	VER
inclinèrent	incliner	VER
incliné	incliner	VER
incliné	incliné	ADJ
inclinée	incliner	VER
inclinée	incliné	ADJ
inclinées	incliner	VER
inclinées	incliné	ADJ
inclinés	incliner	VER
inclinés	incliné	ADJ
incluais	inclure	VER
incluait	inclure	VER
incluant	inclure	VER
inclue	inclure	VER
incluent	inclure	VER
incluez	inclure	VER
incluons	inclure	VER
inclura	inclure	VER
inclurai	inclure	VER
inclurait	inclure	VER
inclure	inclure	VER
inclus	inclure	VER
inclus	inclus	ADJ
incluse	inclus	ADJ
incluses	inclus	ADJ
inclusion	inclusion	NAM
inclusive	inclusif	ADJ
inclusivement	inclusivement	ADV
inclut	inclure	VER
inclémence	inclémence	NAM
inclémences	inclémence	NAM
inclément	inclément	ADJ
inclémente	inclément	ADJ
incoercible	incoercible	ADJ
incoerciblement	incoerciblement	ADV
incoercibles	incoercible	ADJ
incognito	incognito	ADV
incognito	incognito	NAM
incognitos	incognito	NAM
incohérence	incohérence	NAM
incohérences	incohérence	NAM
incohérent	incohérent	ADJ
incohérente	incohérent	ADJ
incohérentes	incohérent	ADJ
incohérents	incohérent	ADJ
incoiffables	incoiffable	ADJ
incollable	incollable	ADJ
incolore	incolore	ADJ
incolores	incolore	ADJ
incombaient	incomber	VER
incombait	incomber	VER
incombant	incomber	VER
incombe	incomber	VER
incombent	incomber	VER
incomber	incomber	VER
incombera	incomber	VER
incomberait	incomber	VER
incombustible	incombustible	ADJ
incombustibles	incombustible	ADJ
incombèrent	incomber	VER
incomestible	incomestible	ADJ
incommensurable	incommensurable	ADJ
incommensurablement	incommensurablement	ADV
incommensurables	incommensurable	ADJ
incommodait	incommoder	VER
incommodant	incommodant	ADJ
incommodante	incommodant	ADJ
incommodantes	incommodant	ADJ
incommode	incommode	ADJ
incommode	incommoder	VER
incommoder	incommoder	VER
incommodera	incommoder	VER
incommoderai	incommoder	VER
incommodes	incommode	ADJ
incommodez	incommoder	VER
incommodité	incommodité	NAM
incommodités	incommodité	NAM
incommodé	incommoder	VER
incommodé	incommodé	ADJ
incommodée	incommoder	VER
incommodée	incommodé	ADJ
incommodées	incommoder	VER
incommodés	incommoder	VER
incommunicabilité	incommunicabilité	NAM
incommunicable	incommunicable	ADJ
incommunicables	incommunicable	ADJ
incomparable	incomparable	ADJ
incomparablement	incomparablement	ADV
incomparables	incomparable	ADJ
incompatibilité	incompatibilité	NAM
incompatibilités	incompatibilité	NAM
incompatible	incompatible	ADJ
incompatibles	incompatible	ADJ
incomplet	incomplet	ADJ
incomplets	incomplet	ADJ
incomplète	incomplet	ADJ
incomplètement	incomplètement	ADV
incomplètes	incomplet	ADJ
incomplétude	incomplétude	NAM
incompressible	incompressible	ADJ
incompris	incompris	ADJ
incompris	incompris	NAM
incomprise	incompris	ADJ
incomprise	incompris	NAM
incomprises	incompris	ADJ
incomprises	incompris	NAM
incompréhensible	incompréhensible	ADJ
incompréhensiblement	incompréhensiblement	ADV
incompréhensibles	incompréhensible	ADJ
incompréhensif	incompréhensif	ADJ
incompréhensifs	incompréhensif	ADJ
incompréhension	incompréhension	NAM
incompréhensions	incompréhension	NAM
incompétence	incompétence	NAM
incompétences	incompétence	NAM
incompétent	incompétent	ADJ
incompétente	incompétent	ADJ
incompétents	incompétent	ADJ
inconcevable	inconcevable	ADJ
inconcevablement	inconcevablement	ADV
inconcevables	inconcevable	ADJ
inconciliable	inconciliable	ADJ
inconciliables	inconciliable	ADJ
inconditionnel	inconditionnel	ADJ
inconditionnel	inconditionnel	NAM
inconditionnelle	inconditionnel	ADJ
inconditionnelle	inconditionnel	NAM
inconditionnellement	inconditionnellement	ADV
inconditionnelles	inconditionnel	ADJ
inconditionnelles	inconditionnel	NAM
inconditionnels	inconditionnel	ADJ
inconditionnels	inconditionnel	NAM
inconditionné	inconditionné	ADJ
inconditionnée	inconditionné	ADJ
inconduite	inconduite	NAM
inconfiance	inconfiance	NAM
inconfort	inconfort	NAM
inconfortable	inconfortable	ADJ
inconfortablement	inconfortablement	ADV
inconfortables	inconfortable	ADJ
incongelables	incongelable	ADJ
incongru	incongru	ADJ
incongrue	incongru	ADJ
incongrues	incongru	ADJ
incongruité	incongruité	NAM
incongruités	incongruité	NAM
incongrus	incongru	ADJ
inconnaissable	inconnaissable	ADJ
inconnaissable	inconnaissable	NAM
inconnaissance	inconnaissance	NAM
inconnu	inconnu	ADJ
inconnu	inconnu	NAM
inconnue	inconnu	ADJ
inconnue	inconnu	NAM
inconnues	inconnu	ADJ
inconnues	inconnu	NAM
inconnus	inconnu	ADJ
inconnus	inconnu	NAM
inconsciemment	inconsciemment	ADV
inconscience	inconscience	NAM
inconsciences	inconscience	NAM
inconscient	inconscient	ADJ
inconscient	inconscient	NAM
inconsciente	inconscient	ADJ
inconscientes	inconscient	ADJ
inconscients	inconscient	ADJ
inconscients	inconscient	NAM
inconsidéré	inconsidéré	ADJ
inconsidérée	inconsidéré	ADJ
inconsidérées	inconsidéré	ADJ
inconsidérément	inconsidérément	ADV
inconsidérés	inconsidéré	ADJ
inconsistance	inconsistance	NAM
inconsistant	inconsistant	ADJ
inconsistante	inconsistant	ADJ
inconsistantes	inconsistant	ADJ
inconsistants	inconsistant	ADJ
inconsolable	inconsolable	ADJ
inconsolables	inconsolable	ADJ
inconsolé	inconsolé	ADJ
inconsolée	inconsolé	ADJ
inconsolées	inconsolé	ADJ
inconsolés	inconsolé	ADJ
inconsommable	inconsommable	ADJ
inconstance	inconstance	NAM
inconstant	inconstant	ADJ
inconstant	inconstant	NAM
inconstante	inconstant	ADJ
inconstante	inconstant	NAM
inconstants	inconstant	ADJ
inconstants	inconstant	NAM
inconstitutionnel	inconstitutionnel	ADJ
inconstitutionnelle	inconstitutionnel	ADJ
inconstructibles	inconstructible	ADJ
inconséquence	inconséquence	NAM
inconséquences	inconséquence	NAM
inconséquent	inconséquent	ADJ
inconséquente	inconséquent	ADJ
inconséquents	inconséquent	ADJ
incontestable	incontestable	ADJ
incontestablement	incontestablement	ADV
incontestables	incontestable	ADJ
incontesté	incontesté	ADJ
incontestée	incontesté	ADJ
incontestés	incontesté	ADJ
incontinence	incontinence	NAM
incontinences	incontinence	NAM
incontinent	incontinent	ADJ
incontinent	incontinent	ADV
incontinente	incontinent	ADJ
incontinentes	incontinent	ADJ
incontinents	incontinent	ADJ
incontournable	incontournable	ADJ
incontournables	incontournable	ADJ
incontrôlable	incontrôlable	ADJ
incontrôlables	incontrôlable	ADJ
incontrôlé	incontrôlé	ADJ
incontrôlée	incontrôlé	ADJ
incontrôlées	incontrôlé	ADJ
incontrôlés	incontrôlé	ADJ
inconvenance	inconvenance	NAM
inconvenances	inconvenance	NAM
inconvenant	inconvenant	ADJ
inconvenante	inconvenant	ADJ
inconvenantes	inconvenant	ADJ
inconvenants	inconvenant	ADJ
inconvertible	inconvertible	ADJ
inconvertissable	inconvertissable	ADJ
inconvénient	inconvénient	NAM
inconvénients	inconvénient	NAM
incoordination	incoordination	NAM
incorpora	incorporer	VER
incorporable	incorporable	ADJ
incorporaient	incorporer	VER
incorporait	incorporer	VER
incorporant	incorporer	VER
incorporation	incorporation	NAM
incorporations	incorporation	NAM
incorpore	incorporer	VER
incorporel	incorporel	ADJ
incorporelle	incorporel	ADJ
incorporelles	incorporel	ADJ
incorporent	incorporer	VER
incorporer	incorporer	VER
incorporez	incorporer	VER
incorporé	incorporer	VER
incorporée	incorporer	VER
incorporées	incorporer	VER
incorporés	incorporer	VER
incorrect	incorrect	ADJ
incorrecte	incorrect	ADJ
incorrectement	incorrectement	ADV
incorrection	incorrection	NAM
incorrects	incorrect	ADJ
incorrigible	incorrigible	ADJ
incorrigiblement	incorrigiblement	ADV
incorrigibles	incorrigible	ADJ
incorruptibilité	incorruptibilité	NAM
incorruptible	incorruptible	ADJ
incorruptibles	incorruptible	ADJ
increvable	increvable	ADJ
increvables	increvable	ADJ
incrimina	incriminer	VER
incriminant	incriminer	VER
incrimination	incrimination	NAM
incrimine	incriminer	VER
incriminent	incriminer	VER
incriminer	incriminer	VER
incriminé	incriminer	VER
incriminée	incriminer	VER
incriminées	incriminer	VER
incrochetable	incrochetable	ADJ
incroyable	incroyable	ADJ
incroyable	incroyable	NAM
incroyablement	incroyablement	ADV
incroyables	incroyable	ADJ
incroyables	incroyable	NAM
incroyance	incroyance	NAM
incroyant	incroyant	ADJ
incroyant	incroyant	NAM
incroyante	incroyant	NAM
incroyants	incroyant	ADJ
incroyants	incroyant	NAM
incrusta	incruster	VER
incrustaient	incruster	VER
incrustais	incruster	VER
incrustait	incruster	VER
incrustant	incruster	VER
incrustation	incrustation	NAM
incrustations	incrustation	NAM
incruste	incruster	VER
incrustent	incruster	VER
incruster	incruster	VER
incrusterait	incruster	VER
incrustez	incruster	VER
incrustèrent	incruster	VER
incrusté	incruster	VER
incrustée	incruster	VER
incrustées	incruster	VER
incrustés	incruster	VER
incrédibilité	incrédibilité	NAM
incrédule	incrédule	ADJ
incrédule	incrédule	NAM
incrédules	incrédule	ADJ
incrédules	incrédule	NAM
incrédulité	incrédulité	NAM
incréé	incréé	ADJ
incréée	incréé	ADJ
incubateur	incubateur	ADJ
incubateur	incubateur	NAM
incubateurs	incubateur	ADJ
incubateurs	incubateur	NAM
incubation	incubation	NAM
incube	incube	NAM
incuber	incuber	VER
incubes	incube	NAM
incubé	incuber	VER
inculcation	inculcation	NAM
inculpa	inculper	VER
inculpant	inculper	VER
inculpation	inculpation	NAM
inculpations	inculpation	NAM
inculpe	inculper	VER
inculpent	inculper	VER
inculper	inculper	VER
inculpera	inculper	VER
inculperai	inculper	VER
inculperais	inculper	VER
inculperont	inculper	VER
inculpez	inculper	VER
inculpons	inculper	VER
inculpé	inculper	VER
inculpé	inculpé	ADJ
inculpé	inculpé	NAM
inculpée	inculper	VER
inculpée	inculpé	ADJ
inculpée	inculpé	NAM
inculpés	inculper	VER
inculpés	inculpé	ADJ
inculpés	inculpé	NAM
inculqua	inculquer	VER
inculquait	inculquer	VER
inculquant	inculquer	VER
inculque	inculquer	VER
inculquent	inculquer	VER
inculquer	inculquer	VER
inculquons	inculquer	VER
inculquât	inculquer	VER
inculqué	inculquer	VER
inculquée	inculquer	VER
inculquées	inculquer	VER
inculqués	inculquer	VER
inculte	inculte	ADJ
incultes	inculte	ADJ
incultivable	incultivable	ADJ
incultivables	incultivable	ADJ
inculture	inculture	NAM
incunables	incunable	NAM
incurable	incurable	ADJ
incurable	incurable	NAM
incurablement	incurablement	ADV
incurables	incurable	ADJ
incurables	incurable	NAM
incurie	incurie	NAM
incurieux	incurieux	ADJ
incuriosité	incuriosité	NAM
incursion	incursion	NAM
incursions	incursion	NAM
incurvaient	incurver	VER
incurvait	incurver	VER
incurvant	incurver	VER
incurvation	incurvation	NAM
incurve	incurver	VER
incurvent	incurver	VER
incurver	incurver	VER
incurvèrent	incurver	VER
incurvé	incurver	VER
incurvé	incurvé	ADJ
incurvée	incurver	VER
incurvée	incurvé	ADJ
incurvées	incurver	VER
incurvées	incurvé	ADJ
incurvés	incurver	VER
incurvés	incurvé	ADJ
incus	incus	ADJ
indansable	indansable	ADJ
inde	inde	NAM
indemne	indemne	ADJ
indemnes	indemne	ADJ
indemnisable	indemnisable	ADJ
indemnisation	indemnisation	NAM
indemnisations	indemnisation	NAM
indemnise	indemniser	VER
indemniser	indemniser	VER
indemniserai	indemniser	VER
indemniseraient	indemniser	VER
indemnisez	indemniser	VER
indemnisé	indemniser	VER
indemnisés	indemniser	VER
indemnité	indemnité	NAM
indemnités	indemnité	NAM
indemnités-repas	indemnités-repa	NAM
indentation	indentation	NAM
indenter	indenter	VER
indentification	indentification	NAM
indenté	indenter	VER
indes	inde	NAM
indescriptible	indescriptible	ADJ
indescriptiblement	indescriptiblement	ADV
indescriptibles	indescriptible	ADJ
indestructibilité	indestructibilité	NAM
indestructible	indestructible	ADJ
indestructibles	indestructible	ADJ
index	index	NAM
indexation	indexation	NAM
indexer	indexer	VER
indexeur	indexeur	NAM
indexé	indexer	VER
indexée	indexer	VER
indianisés	indianiser	VER
indic	indic	NAM
indicateur	indicateur	ADJ
indicateur	indicateur	NAM
indicateurs	indicateur	ADJ
indicateurs	indicateur	NAM
indicatif	indicatif	ADJ
indicatif	indicatif	NAM
indicatifs	indicatif	ADJ
indicatifs	indicatif	NAM
indication	indication	NAM
indications	indication	NAM
indicatrice	indicateur	ADJ
indicatrices	indicateur	ADJ
indice	indice	NAM
indices	indice	NAM
indiciaire	indiciaire	ADJ
indiciaires	indiciaire	ADJ
indicible	indicible	ADJ
indiciblement	indiciblement	ADV
indicibles	indicible	ADJ
indics	indic	NAM
indien	indien	ADJ
indien	indien	NAM
indienne	indien	ADJ
indienne	indien	NAM
indienneries	indiennerie	NAM
indiennes	indien	ADJ
indiennes	indien	NAM
indiens	indien	ADJ
indiens	indien	NAM
indiffère	indifférer	VER
indiffèrent	indifférer	VER
indiffères	indifférer	VER
indifféraient	indifférer	VER
indifférait	indifférer	VER
indifféremment	indifféremment	ADV
indifférence	indifférence	NAM
indifférences	indifférence	NAM
indifférenciation	indifférenciation	NAM
indifférencié	indifférencié	ADJ
indifférenciée	indifférencier	VER
indifférenciée	indifférencié	ADJ
indifférenciés	indifférencié	ADJ
indifférent	indifférent	ADJ
indifférent	indifférent	NAM
indifférente	indifférent	ADJ
indifférente	indifférent	NAM
indifférentes	indifférent	ADJ
indifférentes	indifférent	NAM
indifférentisme	indifférentisme	NAM
indifférents	indifférent	ADJ
indifférents	indifférent	NAM
indifféré	indifférer	VER
indigence	indigence	NAM
indigent	indigent	ADJ
indigent	indigent	NAM
indigente	indigent	ADJ
indigente	indigent	NAM
indigentes	indigent	ADJ
indigentes	indigent	NAM
indigents	indigent	ADJ
indigents	indigent	NAM
indigeste	indigeste	ADJ
indigestes	indigeste	ADJ
indigestion	indigestion	NAM
indigestionner	indigestionner	VER
indigestions	indigestion	NAM
indigna	indigner	VER
indignai	indigner	VER
indignaient	indigner	VER
indignais	indigner	VER
indignait	indigner	VER
indignant	indigner	VER
indignassent	indigner	VER
indignation	indignation	NAM
indignations	indignation	NAM
indigne	indigne	ADJ
indigne	indigner	VER
indignement	indignement	ADV
indignent	indigner	VER
indigner	indigner	VER
indignera	indigner	VER
indignes	indigne	ADJ
indignes	indigner	VER
indignité	indignité	NAM
indignités	indignité	NAM
indignèrent	indigner	VER
indigné	indigner	VER
indigné	indigné	ADJ
indignée	indigner	VER
indignée	indigné	ADJ
indignées	indigner	VER
indignées	indigné	ADJ
indignés	indigner	VER
indignés	indigné	ADJ
indigo	indigo	ADJ
indigo	indigo	NAM
indigène	indigène	ADJ
indigène	indigène	NAM
indigènes	indigène	ADJ
indigènes	indigène	NAM
indiqua	indiquer	VER
indiquai	indiquer	VER
indiquaient	indiquer	VER
indiquais	indiquer	VER
indiquait	indiquer	VER
indiquant	indiquer	VER
indique	indiquer	VER
indiquent	indiquer	VER
indiquer	indiquer	VER
indiquera	indiquer	VER
indiquerai	indiquer	VER
indiqueraient	indiquer	VER
indiquerais	indiquer	VER
indiquerait	indiquer	VER
indiqueras	indiquer	VER
indiquerez	indiquer	VER
indiqueriez	indiquer	VER
indiquerons	indiquer	VER
indiquez	indiquer	VER
indiquiez	indiquer	VER
indiquions	indiquer	VER
indiquons	indiquer	VER
indiquât	indiquer	VER
indiquèrent	indiquer	VER
indiqué	indiquer	VER
indiqué	indiqué	ADJ
indiquée	indiquer	VER
indiquée	indiqué	ADJ
indiquées	indiquer	VER
indiquées	indiqué	ADJ
indiqués	indiquer	VER
indiqués	indiqué	ADJ
indirect	indirect	ADJ
indirecte	indirect	ADJ
indirectement	indirectement	ADV
indirectes	indirect	ADJ
indirects	indirect	ADJ
indiscernable	indiscernable	ADJ
indiscernables	indiscernable	ADJ
indiscipline	indiscipline	NAM
indiscipliné	indiscipliné	ADJ
indisciplinée	indiscipliné	ADJ
indisciplinées	indiscipliné	ADJ
indisciplinés	indiscipliné	ADJ
indiscret	indiscret	ADJ
indiscret	indiscret	NAM
indiscrets	indiscret	ADJ
indiscrets	indiscret	NAM
indiscrète	indiscret	ADJ
indiscrète	indiscrète	NAM
indiscrètement	indiscrètement	ADV
indiscrètes	indiscret	ADJ
indiscrétion	indiscrétion	NAM
indiscrétions	indiscrétion	NAM
indiscutable	indiscutable	ADJ
indiscutablement	indiscutablement	ADV
indiscutables	indiscutable	ADJ
indiscuté	indiscuté	ADJ
indiscutée	indiscuté	ADJ
indiscutés	indiscuté	ADJ
indispensable	indispensable	ADJ
indispensable	indispensable	NAM
indispensables	indispensable	ADJ
indispensables	indispensable	NAM
indisponibilité	indisponibilité	NAM
indisponible	indisponible	ADJ
indisponibles	indisponible	ADJ
indisposa	indisposer	VER
indisposaient	indisposer	VER
indisposait	indisposer	VER
indispose	indispos	ADJ
indisposent	indisposer	VER
indisposer	indisposer	VER
indisposerait	indisposer	VER
indisposition	indisposition	NAM
indisposons	indisposer	VER
indisposèrent	indisposer	VER
indisposé	indisposer	VER
indisposé	indisposé	ADJ
indisposée	indisposer	VER
indisposée	indisposé	ADJ
indisposés	indisposer	VER
indissociable	indissociable	ADJ
indissociables	indissociable	ADJ
indissociés	indissocié	ADJ
indissoluble	indissoluble	ADJ
indissolublement	indissolublement	ADV
indissolubles	indissoluble	ADJ
indistinct	indistinct	ADJ
indistincte	indistinct	ADJ
indistinctement	indistinctement	ADV
indistinctes	indistinct	ADJ
indistinction	indistinction	NAM
indistincts	indistinct	ADJ
individu	individu	NAM
individualiser	individualiser	VER
individualisme	individualisme	NAM
individualiste	individualiste	ADJ
individualiste	individualiste	NAM
individualistes	individualiste	ADJ
individualistes	individualiste	NAM
individualisé	individualiser	VER
individualisé	individualisé	ADJ
individualisés	individualiser	VER
individualité	individualité	NAM
individualités	individualité	NAM
individuel	individuel	ADJ
individuelle	individuel	ADJ
individuellement	individuellement	ADV
individuelles	individuel	ADJ
individuels	individuel	ADJ
individus	individu	NAM
individuée	individué	ADJ
indivis	indivis	ADJ
indivises	indivis	ADJ
indivisibilité	indivisibilité	NAM
indivisible	indivisible	ADJ
indivisibles	indivisible	ADJ
indivision	indivision	NAM
indivisé	indivisé	ADJ
indo	indo	ADV
indo-européen	indo-européen	ADJ
indo-européenne	indo-européen	ADJ
indo-européennes	indo-européen	ADJ
indo-européens	indo-européen	ADJ
indo-européens	indo-européen	NAM
indochinois	indochinois	ADJ
indochinois	indochinois	NAM
indochinoise	indochinois	ADJ
indochinoises	indochinois	ADJ
indocile	indocile	ADJ
indocilité	indocilité	NAM
indole	indole	NAM
indolemment	indolemment	ADV
indolence	indolence	NAM
indolences	indolence	NAM
indolent	indolent	ADJ
indolente	indolent	ADJ
indolentes	indolent	ADJ
indolents	indolent	ADJ
indolore	indolore	ADJ
indolores	indolore	ADJ
indomptable	indomptable	ADJ
indomptables	indomptable	ADJ
indompté	indompté	ADJ
indomptée	indompté	ADJ
indomptés	indompté	ADJ
indonésien	indonésien	ADJ
indonésien	indonésien	NAM
indonésienne	indonésien	ADJ
indonésienne	indonésien	NAM
indonésiens	indonésien	ADJ
indonésiens	indonésien	NAM
indoor	indoor	ADJ
indosable	indosable	ADJ
indou	indou	ADJ
indous	indou	ADJ
indu	indu	ADJ
indubitable	indubitable	ADJ
indubitablement	indubitablement	ADV
indubitables	indubitable	ADJ
inducteur	inducteur	NAM
inductif	inductif	ADJ
induction	induction	NAM
inductions	induction	NAM
inductive	inductif	ADJ
inductrice	inducteur	ADJ
indue	indu	ADJ
indues	indu	ADJ
induiraient	induire	VER
induirait	induire	VER
induire	induire	VER
induis	induire	VER
induisaient	induire	VER
induisait	induire	VER
induisant	induire	VER
induisez	induire	VER
induisit	induire	VER
induit	induire	VER
induit	induit	ADJ
induit	induit	NAM
induite	induire	VER
induite	induit	ADJ
induits	induire	VER
indulgence	indulgence	NAM
indulgences	indulgence	NAM
indulgent	indulgent	ADJ
indulgente	indulgent	ADJ
indulgentes	indulgent	ADJ
indulgents	indulgent	ADJ
induré	indurer	VER
indurée	induré	ADJ
indurées	indurer	VER
indus	indu	ADJ
industrialisation	industrialisation	NAM
industrialiser	industrialiser	VER
industrialisé	industrialiser	VER
industrialisé	industrialisé	ADJ
industrialisée	industrialiser	VER
industrialisée	industrialisé	ADJ
industrialisés	industrialisé	ADJ
industrie	industrie	NAM
industrie-clé	industrie-clé	NAM
industriel	industriel	ADJ
